fight_id,event_date,weight_class,is_title_bout,is_main_event,a_name,b_name,a_archetype,b_archetype,a_short_notice,b_short_notice,a_long_layoff,b_long_layoff,a_age,b_age,a_ufc_fights,b_ufc_fights,a_win_rate_l3,b_win_rate_l3,a_finish_rate,b_finish_rate,a_recent_1,b_recent_1,prob_a,confidence,confidence_bucket,model_pick,a_won,correct,fav_hit
00959e29e4a10e26,2026-05-30,Bantamweight,0,0,Cameron Smotherman,Kai Asakura,Point Fighter,Point Fighter,0,0,0,0,28.7,32.6,3,2,0.3333,0.0,0.0,0.0,L,L,0.6304,0.6304,med (60-70%),A,0,0,0
00bde62cac38e5e9,2026-05-02,Bantamweight,0,0,Colby Thicknesse,Vince Morales,Volume Striker,Point Fighter,0,0,0,0,26.9,35.5,2,12,0.5,0.0,0.0,0.3333,W,L,0.7223,0.7223,high (>=70%),A,1,1,1
00e8d4b961a65d21,2026-06-14,Middleweight,0,0,Bo Nickal,Kyle Daukaus,Sub Specialist,Sub Specialist,0,0,0,0,30.4,33.3,6,10,0.6667,0.6667,0.8,0.6,W,W,0.6781,0.6781,med (60-70%),A,1,1,1
012c307c9d446c4d,2026-06-27,Middleweight,0,0,Michel Pereira,Shara Magomedov,Volume Striker,Volume Striker,0,0,0,0,32.7,32.1,15,6,0.3333,0.6667,0.5,0.4,W,W,0.4322,0.5678,lean (55-60%),B,0,1,1
04b7bcc0e8488604,2026-02-21,Heavyweight,0,0,Ante Delija,Serghei Spivac,Volume Striker,Sub Specialist,0,0,0,0,35.5,31.1,2,14,0.5,0.3333,1.0,0.75,L,L,0.4067,0.5933,lean (55-60%),B,0,1,1
0760bc02280574dd,2026-04-04,Heavyweight,0,0,Guilherme Pat,Thomas Petersen,Point Fighter,Wrestler,0,0,0,0,32.0,31.0,1,5,1.0,0.3333,0.0,0.0,W,L,0.5891,0.5891,lean (55-60%),A,0,0,0
08d4e3864c44f8a5,2026-03-28,Heavyweight,0,0,Marcin Tybura,Tyrell Fortune,Point Fighter,Point Fighter,0,0,0,0,40.4,35.7,23,0,0.6667,0.0,0.4286,0.0,L,,0.5472,0.5472,tossup (50-55%),A,0,0,0
0b6c13ab8ad7f82b,2026-04-18,Women's Flyweight,0,0,JJ Aldrich,Jamey-Lyn Horth,Point Fighter,Volume Striker,0,0,0,0,33.5,36.1,16,6,0.6667,0.6667,0.1,0.25,W,W,0.4184,0.5816,lean (55-60%),B,1,0,0
0df4f4ac27cf2d26,2026-04-25,Women's Strawweight,0,0,Julia Polastri,Talita Alencar,Volume Striker,Sub Specialist,0,0,0,0,28.1,35.5,4,4,0.6667,0.6667,0.5,0.3333,W,W,0.5277,0.5277,tossup (50-55%),A,0,0,0
0e60ab32f3d03929,2026-06-27,Welterweight,0,0,Daniil Donchenko,Theodor Berggren,Volume Striker,Point Fighter,0,0,0,0,24.9,26.2,2,0,1.0,0.0,0.5,0.0,W,,0.7449,0.7449,high (>=70%),A,1,1,1
10ab34056720b6b4,2026-04-11,Featherweight,0,0,Aaron Pico,Patricio Pitbull,Wrestler,Wrestler,0,0,0,0,29.5,38.8,1,2,0.0,0.5,0.0,0.0,L,W,0.6315,0.6315,med (60-70%),A,1,1,1
1162a74e3604c488,2026-07-11,Middleweight,0,0,Ryan Gandra,Zach Reese,Counter Striker,Volume Striker,0,0,0,0,31.2,32.3,1,8,1.0,0.3333,1.0,0.5,W,L,0.6311,0.6311,med (60-70%),A,1,1,1
118c25bda9392140,2026-07-11,Heavyweight,0,0,Elisha Ellison,Gable Steveson,Point Fighter,Point Fighter,0,0,0,0,29.3,26.1,1,0,0.0,0.0,0.0,0.0,L,,0.4034,0.5966,lean (55-60%),B,0,1,1
127ba4a1ccb3d4a6,2026-06-14,Featherweight,0,0,Diego Lopes,Steve Garcia,Volume Striker,Counter Striker,0,0,0,0,31.5,34.1,9,11,0.3333,1.0,0.6667,0.8889,L,W,0.4615,0.5385,tossup (50-55%),B,1,0,0
130b325610c54a64,2026-07-11,Lightweight,0,0,Benoit Saint Denis,Paddy Pimblett,Sub Specialist,Volume Striker,0,0,0,0,30.6,31.5,12,8,1.0,0.6667,1.0,0.7143,W,L,0.6607,0.6607,med (60-70%),A,0,0,0
17d31249c9ab18af,2026-06-20,Flyweight,0,0,Andre Lima,Kevin Borjas,Volume Striker,Point Fighter,0,0,0,0,27.4,28.5,4,5,1.0,0.3333,0.25,0.0,W,L,0.6925,0.6925,med (60-70%),A,0,0,0
1a7119f3996b5635,2026-06-27,Featherweight,0,0,Javier Reyes,Kaan Ofli,Volume Striker,Sub Specialist,0,0,0,0,32.7,33.0,1,4,1.0,0.6667,1.0,0.5,W,W,0.6796,0.6796,med (60-70%),A,0,0,0
1b6a3b0d27654d3e,2026-07-11,Flyweight,0,0,Alessandro Costa,Cody Durden,Volume Striker,Wrestler,0,0,0,0,30.5,35.3,7,16,0.6667,0.3333,1.0,0.2857,W,W,0.6433,0.6433,med (60-70%),A,1,1,1
1c50e43770ba84fc,2026-03-28,Women's Flyweight,0,0,Casey O'Neill,Gabriella Fernandes,Volume Striker,Volume Striker,0,0,1,0,28.5,32.6,7,5,0.3333,1.0,0.6,0.3333,W,W,0.5421,0.5421,tossup (50-55%),A,1,1,1
1f5d0b106385b2ac,2026-05-09,Middleweight,0,0,Baisangur Susurkaev,Djorden Santos,Sub Specialist,Volume Striker,0,0,0,0,25.3,28.8,2,2,1.0,0.5,1.0,0.0,W,W,0.7833,0.7833,high (>=70%),A,1,1,1
202d3277e569ad03,2026-02-21,Welterweight,0,0,Carlos Leal,Chidi Njokuani,Volume Striker,Volume Striker,0,0,0,0,31.8,37.1,3,9,0.3333,0.6667,1.0,0.6,L,L,0.4927,0.5073,tossup (50-55%),B,1,0,0
20868a67bea63129,2026-04-11,Middleweight,0,0,Kelvin Gastelum,Vicente Luque,Point Fighter,Volume Striker,0,0,0,0,34.5,34.4,25,24,0.6667,0.3333,0.3571,0.875,W,L,0.4828,0.5172,tossup (50-55%),B,0,1,1
20d74ed23d3e9b3a,2026-06-06,Flyweight,0,0,Bruno Silva,Edgar Chairez,Volume Striker,Volume Striker,0,0,0,0,36.9,30.4,19,6,0.3333,0.6667,1.0,0.6667,L,W,0.4144,0.5856,lean (55-60%),B,0,1,1
210fc45074fba464,2026-01-24,Welterweight,0,0,Adam Fugitt,Ty Miller,Volume Striker,Point Fighter,0,0,0,0,37.0,25.6,5,0,0.3333,0.0,0.5,0.0,L,,0.3203,0.6797,med (60-70%),B,0,1,1
216bc9b661485017,2026-03-21,Women's Strawweight,0,0,Ravena Oliveira,Shanelle Dyer,Point Fighter,Point Fighter,0,0,0,0,29.1,24.9,2,0,0.0,0.0,0.0,0.0,L,,0.4991,0.5009,tossup (50-55%),B,0,1,1
224dce2c0b03e7eb,2026-05-30,Bantamweight,0,0,Luis Gurule,Rei Tsuruya,Volume Striker,Wrestler,0,0,0,0,32.5,23.9,4,2,0.3333,0.5,0.0,0.0,W,L,0.2893,0.7107,high (>=70%),B,0,1,1
22ba4f1b0aafbf82,2026-05-09,Heavyweight,0,0,Alexander Volkov,Waldo Cortes Acosta,Volume Striker,Volume Striker,0,0,0,0,37.5,34.6,18,12,0.6667,1.0,0.5385,0.5,W,W,0.5029,0.5029,tossup (50-55%),A,1,1,1
244285b7fd0ddece,2026-03-14,Women's Strawweight,0,0,Piera Rodriguez,Sam Hughes,Wrestler,Volume Striker,0,0,0,0,33.3,33.7,6,11,0.6667,1.0,0.0,0.3333,W,W,0.4703,0.5297,tossup (50-55%),B,1,0,0
25ab195cefbce1d0,2026-02-28,Bantamweight,0,0,Cristian Quinonez,Kris Moutinho,Volume Striker,Volume Striker,0,0,1,0,29.8,33.6,3,3,0.3333,0.0,1.0,0.0,L,L,0.7001,0.7001,high (>=70%),A,1,1,1
2afaa97901d5587c,2026-05-02,Heavyweight,0,0,Louie Sutherland,Tai Tuivasa,Wrestler,Volume Striker,0,0,0,0,32.2,33.1,2,17,0.0,0.0,0.0,0.875,L,L,0.5441,0.5441,tossup (50-55%),A,1,1,1
2c330a6f7f1e55f0,2026-03-14,Heavyweight,0,0,Steven Asplund,Vitor Petrino,Volume Striker,Wrestler,0,0,0,0,27.7,28.5,1,8,1.0,0.6667,1.0,0.6667,W,W,0.539,0.539,tossup (50-55%),A,0,0,0
2e7f8d0ad385876d,2026-04-25,Welterweight,0,0,Max Griffin,Victor Valenzuela,Point Fighter,Point Fighter,0,0,0,0,40.4,32.2,18,0,0.3333,0.0,0.375,0.0,L,,0.4771,0.5229,tossup (50-55%),B,0,1,1
303018d7459323b4,2026-05-09,Featherweight,0,0,Pat Sabatini,William Gomis,Wrestler,Volume Striker,0,0,0,0,35.5,28.9,10,6,1.0,0.6667,0.375,0.2,W,W,0.3797,0.6203,med (60-70%),B,1,0,0
30cdb851f6c63444,2026-06-14,Heavyweight,0,0,Derrick Lewis,Josh Hokit,Point Fighter,Volume Striker,0,0,0,0,41.3,28.6,31,3,0.6667,1.0,0.8,0.6667,L,W,0.2958,0.7042,high (>=70%),B,0,1,1
